,zipcode,available_rate,amount,average_review
0,98101,0.6879165814761807,201,9.877906976744185
1,98102,0.6223703883298985,339,9.790441176470589
2,98103,0.6830957513385717,394,9.771341463414634
3,98104,0.6552559480894016,95,9.430379746835444
4,98105,0.7160669710806697,225,9.408045977011493
5,98106,0.7205479452054795,58,9.137254901960784
6,98107,0.6654946727549468,180,9.769736842105264
7,98108,0.7159001956947162,56,9.020833333333334
8,98109,0.5681676386816764,202,9.723270440251572
9,98112,0.6854072676564679,167,9.804347826086957
10,98115,0.6581960905033092,178,9.517006802721088
11,98116,0.6850538160469667,112,9.877777777777778
12,98117,0.7128132308720347,164,9.623188405797102
13,98118,0.6852695249955524,154,9.0
14,98119,0.666079126353099,143,9.731092436974789
15,98121,0.615487838971205,196,9.837209302325581
16,98122,0.6638922331044805,421,9.653846153846153
17,98125,0.7688983214354621,71,9.186440677966102
18,98126,0.7923026744944554,63,9.553191489361701
19,98133,0.6976771888028589,46,9.17142857142857
20,98134,0.8646575342465753,5,8.75
21,98136,0.6727895392278954,44,9.722222222222221
22,98144,0.6573287671232877,200,9.203592814371257
23,98146,0.6608219178082192,5,8.666666666666666
24,98177,0.5306416726748377,19,9.5
25,98178,0.8446183953033268,7,9.25
26,98199,0.7773349937733499,66,9.607843137254902
