zipcode,available
98101,0.736645539426157
98102,0.6366428253929769
98103,0.6259439538279674
98104,0.6845277577505408
98105,0.7118295281582954
98106,0.620217288615966
98107,0.7151598173515982
98108,0.5800880626223092
98109,0.7000271260002713
98112,0.6499220736608974
98115,0.6846082807449592
98116,0.6186888454011742
98117,0.617674574006014
98118,0.6286781711439245
98119,0.736085831976243
98121,0.7056052558009506
98122,0.6850616601047733
98125,0.6989388385105151
98126,0.673233311589476
98133,0.6294222751637879
98134,0.767123287671233
98136,0.6227272727272727
98144,0.7035479452054794
98146,0.753972602739726
98177,0.47974044700793084
98178,0.5240704500978474
98199,0.6428808634288087
